Start,Finish,Distance (mi)
14-Apr-2020 00:00,15-Apr-2020 00:00,0.203083753772677
15-Apr-2020 00:00,16-Apr-2020 00:00,0.613479231144766
16-Apr-2020 00:00,17-Apr-2020 00:00,2.46529408458335
17-Apr-2020 00:00,18-Apr-2020 00:00,3.0929618298892
18-Apr-2020 00:00,19-Apr-2020 00:00,2.59963989923169
19-Apr-2020 00:00,20-Apr-2020 00:00,9.52677677648784
20-Apr-2020 00:00,21-Apr-2020 00:00,2.49691228925027
21-Apr-2020 00:00,22-Apr-2020 00:00,5.89874717480518
22-Apr-2020 00:00,23-Apr-2020 00:00,0.649275263226751
23-Apr-2020 00:00,24-Apr-2020 00:00,0.889506730463403
24-Apr-2020 00:00,25-Apr-2020 00:00,2.69271609665528
25-Apr-2020 00:00,26-Apr-2020 00:00,3.22275248635703
26-Apr-2020 00:00,27-Apr-2020 00:00,3.16535652319245
