Start,Finish,Active Calories (kcal)
07-Jun-2019 00:00,08-Jun-2019 00:00,947.636105278402
08-Jun-2019 00:00,09-Jun-2019 00:00,920.772509900516
09-Jun-2019 00:00,10-Jun-2019 00:00,637.254384821116
10-Jun-2019 00:00,11-Jun-2019 00:00,475.125926273849
11-Jun-2019 00:00,12-Jun-2019 00:00,1093.62707372614
12-Jun-2019 00:00,13-Jun-2019 00:00,1471.67100000008
13-Jun-2019 00:00,14-Jun-2019 00:00,433.596
14-Jun-2019 00:00,15-Jun-2019 00:00,998.046999999989
15-Jun-2019 00:00,16-Jun-2019 00:00,921.683246420178
16-Jun-2019 00:00,17-Jun-2019 00:00,172.874753579827
17-Jun-2019 00:00,18-Jun-2019 00:00,853.756309765892
18-Jun-2019 00:00,19-Jun-2019 00:00,686.757290209938
19-Jun-2019 00:00,20-Jun-2019 00:00,1080.8056953236
20-Jun-2019 00:00,21-Jun-2019 00:00,911.617704700567
21-Jun-2019 00:00,22-Jun-2019 00:00,822.921000000001
22-Jun-2019 00:00,23-Jun-2019 00:00,1018.10499999999
23-Jun-2019 00:00,24-Jun-2019 00:00,230.396036150808
24-Jun-2019 00:00,25-Jun-2019 00:00,569.342963849194
25-Jun-2019 00:00,26-Jun-2019 00:00,1018.77699999999
26-Jun-2019 00:00,27-Jun-2019 00:00,1102.02699999999
27-Jun-2019 00:00,28-Jun-2019 00:00,527.863
28-Jun-2019 00:00,29-Jun-2019 00:00,877.242000000003
29-Jun-2019 00:00,30-Jun-2019 00:00,1033.57299999999
30-Jun-2019 00:00,01-Jul-2019 00:00,379.175
01-Jul-2019 00:00,02-Jul-2019 00:00,977.468999999998
02-Jul-2019 00:00,03-Jul-2019 00:00,741.992999999998
03-Jul-2019 00:00,04-Jul-2019 00:00,974.558999999998
04-Jul-2019 00:00,05-Jul-2019 00:00,1184.63708711515
05-Jul-2019 00:00,06-Jul-2019 00:00,741.56591288486
06-Jul-2019 00:00,07-Jul-2019 00:00,993.570754044696
07-Jul-2019 00:00,08-Jul-2019 00:00,248.750245955311
08-Jul-2019 00:00,09-Jul-2019 00:00,1143.46900000002
09-Jul-2019 00:00,10-Jul-2019 00:00,738.019999999999
10-Jul-2019 00:00,11-Jul-2019 00:00,1029.92399999999
11-Jul-2019 00:00,12-Jul-2019 00:00,765.705
12-Jul-2019 00:00,13-Jul-2019 00:00,662.521
13-Jul-2019 00:00,14-Jul-2019 00:00,740.961000000001
14-Jul-2019 00:00,15-Jul-2019 00:00,245.914
15-Jul-2019 00:00,16-Jul-2019 00:00,935.203000000002
16-Jul-2019 00:00,17-Jul-2019 00:00,691.173000000001
17-Jul-2019 00:00,18-Jul-2019 00:00,1497.98670769849
18-Jul-2019 00:00,19-Jul-2019 00:00,2851.74229230167
19-Jul-2019 00:00,20-Jul-2019 00:00,972.218000000002
20-Jul-2019 00:00,21-Jul-2019 00:00,1067.17799999998
21-Jul-2019 00:00,22-Jul-2019 00:00,300.931
22-Jul-2019 00:00,23-Jul-2019 00:00,1044.581
23-Jul-2019 00:00,24-Jul-2019 00:00,1461.98017076016
24-Jul-2019 00:00,25-Jul-2019 00:00,1016.36929330944
25-Jul-2019 00:00,26-Jul-2019 00:00,612.23670669055
26-Jul-2019 00:00,27-Jul-2019 00:00,406.373151824649
27-Jul-2019 00:00,28-Jul-2019 00:00,760.688848175352
28-Jul-2019 00:00,29-Jul-2019 00:00,226.04
29-Jul-2019 00:00,30-Jul-2019 00:00,1142.41257890595
30-Jul-2019 00:00,31-Jul-2019 00:00,1041.47042109405
31-Jul-2019 00:00,01-Aug-2019 00:00,545.465279828225
01-Aug-2019 00:00,02-Aug-2019 00:00,786.517570328969
02-Aug-2019 00:00,03-Aug-2019 00:00,604.205
03-Aug-2019 00:00,04-Aug-2019 00:00,416.048312275875
04-Aug-2019 00:00,05-Aug-2019 00:00,390.548687724125
05-Aug-2019 00:00,06-Aug-2019 00:00,1040.00222548227
06-Aug-2019 00:00,07-Aug-2019 00:00,642.020774517732
