In bed start,In bed Finish,Minutes in bed,Minutes asleep,Time to fall sleep,Number of sleep periods
25-Apr-2017 00:10,25-Apr-2017 07:00,410.466666666667,0.0,0.0,0
25-Apr-2017 23:24,26-Apr-2017 07:01,457.066666666667,0.0,0.0,0
27-Apr-2017 00:29,27-Apr-2017 01:25,56.2666666666667,0.0,0.0,0
27-Apr-2017 01:32,27-Apr-2017 07:19,347.467765450478,0.0,0.0,0
27-Apr-2017 23:43,28-Apr-2017 07:07,444.376411191622,0.0,0.0,0
01-May-2017 02:30,01-May-2017 07:00,269.610581899683,0.0,0.0,0
01-May-2017 23:56,02-May-2017 07:08,431.6,0.0,0.0,0
02-May-2017 23:00,03-May-2017 07:20,500.533333333333,0.0,0.0,0
03-May-2017 07:26,03-May-2017 07:29,3.50030678311984,0.0,0.0,0
03-May-2017 23:00,04-May-2017 07:00,480.521395933628,0.0,0.0,0
04-May-2017 23:00,05-May-2017 07:28,508.866666666667,0.0,0.0,0
07-May-2017 23:21,08-May-2017 07:21,480.298358800014,0.0,0.0,0
09-May-2017 00:35,09-May-2017 07:00,384.963222600023,0.0,0.0,0
10-May-2017 00:42,10-May-2017 07:20,397.933333333333,0.0,0.0,0
11-May-2017 00:22,11-May-2017 07:00,398.2,0.0,0.0,0
11-May-2017 07:00,11-May-2017 07:00,0.0273878832658132,0.0,0.0,0
15-May-2017 01:24,15-May-2017 07:12,347.866666666667,0.0,0.0,0
15-May-2017 07:15,15-May-2017 07:21,5.86666666666667,0.0,0.0,0
15-May-2017 23:55,16-May-2017 07:48,472.4,0.0,0.0,0
17-May-2017 00:27,17-May-2017 07:26,418.685700401664,0.0,0.0,0
17-May-2017 07:26,17-May-2017 07:26,0.278438483675321,0.0,0.0,0
17-May-2017 23:00,18-May-2017 00:27,87.5333333333333,0.0,0.0,0
18-May-2017 00:32,18-May-2017 07:00,388.133333333333,0.0,0.0,0
18-May-2017 23:37,19-May-2017 07:31,474.731743649642,0.0,0.0,0
21-May-2017 23:00,22-May-2017 07:26,506.376366832852,0.0,0.0,0
23-May-2017 00:24,23-May-2017 07:02,397.2,0.0,0.0,0
23-May-2017 23:43,24-May-2017 07:09,446.122666650017,0.0,0.0,0
24-May-2017 23:26,25-May-2017 00:30,64.3333333333333,0.0,0.0,0
25-May-2017 00:31,25-May-2017 00:42,10.4,0.0,0.0,0
25-May-2017 00:43,25-May-2017 01:50,66.6,0.0,0.0,0
25-May-2017 01:51,25-May-2017 07:00,309.263295183579,0.0,0.0,0
26-May-2017 00:02,26-May-2017 01:59,116.933333333333,0.0,0.0,0
26-May-2017 02:01,26-May-2017 07:01,299.64905496637,0.0,0.0,0
29-May-2017 05:54,29-May-2017 07:00,66.4679063002268,0.0,0.0,0
30-May-2017 00:13,30-May-2017 07:35,441.819773599505,0.0,0.0,0
31-May-2017 00:21,31-May-2017 07:20,419.024908816814,0.0,0.0,0
31-May-2017 23:19,01-Jun-2017 07:00,460.830442633231,0.0,0.0,0
01-Jun-2017 23:29,02-Jun-2017 06:44,434.8,0.0,0.0,0
02-Jun-2017 06:49,02-Jun-2017 06:55,5.46666666666667,0.0,0.0,0
04-Jun-2017 23:00,05-Jun-2017 07:00,480.962121516466,0.0,0.0,0
06-Jun-2017 01:45,06-Jun-2017 06:31,285.748949472109,0.0,0.0,0
06-Jun-2017 06:40,06-Jun-2017 06:41,1.66666666666667,0.0,0.0,0
06-Jun-2017 23:00,07-Jun-2017 03:33,273.733333333333,0.0,0.0,0
07-Jun-2017 03:37,07-Jun-2017 06:34,177.4,0.0,0.0,0
07-Jun-2017 06:47,07-Jun-2017 07:00,13.1727575163047,0.0,0.0,0
07-Jun-2017 23:00,08-Jun-2017 03:49,289.733333333333,0.0,0.0,0
08-Jun-2017 03:56,08-Jun-2017 04:07,10.9333333333333,0.0,0.0,0
08-Jun-2017 04:12,08-Jun-2017 04:33,21.1333333333333,0.0,0.0,0
08-Jun-2017 04:39,08-Jun-2017 04:53,13.8,0.0,0.0,0
08-Jun-2017 05:00,08-Jun-2017 07:00,119.867140632868,0.0,0.0,0
08-Jun-2017 23:05,09-Jun-2017 07:08,482.333333333333,0.0,0.0,0
11-Jun-2017 23:14,12-Jun-2017 02:30,196.666666666667,0.0,0.0,0
12-Jun-2017 02:31,12-Jun-2017 06:51,260.666666666667,0.0,0.0,0
12-Jun-2017 23:27,13-Jun-2017 07:22,475.6,0.0,0.0,0
14-Jun-2017 00:08,14-Jun-2017 07:41,453.533333333333,0.0,0.0,0
